Sales document,Customer_Number,Material,Pricing RC,RCDescription,Calendar Day,F8,$
439875666,3519136,8980145,120,Pricing Engine ZGPD,01/22/2019,2,299.5
439875666,3519136,2369405,120,Pricing Engine ZGPD,01/22/2019,0,0
439875666,3519136,2336070,120,Pricing Engine ZGPD,01/22/2019,0,0
439852366,3673748,8104045,120,Pricing Engine ZGPD,01/07/2019,1,298.81
439852366,3673748,2651255,120,Pricing Engine ZGPD,01/07/2019,0,0
973269366,3894104,8948112,120,Pricing Engine ZGPD,01/17/2019,1,122.25
523809366,3165985,2344423,#,#,01/16/2019,1,0
973263266,3278340,8986296,120,Pricing Engine ZGPD,01/16/2019,1,489
973263266,3278340,2363982,120,Pricing Engine ZGPD,01/16/2019,0,0
973357266,3319805,2384129,363,Overwr Price Eng Cust.NP - Z001,01/09/2019,2,220
439850266,3671102,2313674,120,Pricing Engine ZGPD,01/14/2019,100,40.06
973371866,3675410,2639541,120,Pricing Engine ZGPD,01/09/2019,1,39
439859866,3679090,2337503,120,Pricing Engine ZGPD,01/09/2019,6,70.5
973390866,3879620,8154271,363,Overwr Price Eng Cust.NP - Z001,01/03/2019,1,349
439876166,2104386,2390736,120,Pricing Engine ZGPD,01/14/2019,0,0
439876166,2104386,2390733,120,Pricing Engine ZGPD,01/14/2019,0,0
439876166,2104386,2390732,120,Pricing Engine ZGPD,01/14/2019,0,0
439876166,2104386,2390738,120,Pricing Engine ZGPD,01/14/2019,0,0
439876166,2104386,2319788,120,Pricing Engine ZGPD,01/14/2019,0,0
439876166,2104386,2645878,120,Pricing Engine ZGPD,01/14/2019,0,0
439876166,2104386,2390731,120,Pricing Engine ZGPD,01/14/2019,0,0
439876166,2104386,2390371,120,Pricing Engine ZGPD,01/14/2019,0,0
439876166,2104386,8986164,120,Pricing Engine ZGPD,01/14/2019,1,3899
439876166,2104386,2390734,120,Pricing Engine ZGPD,01/14/2019,0,0
439876166,2104386,2319954,120,Pricing Engine ZGPD,01/14/2019,0,0
439876166,2104386,2302985,120,Pricing Engine ZGPD,01/14/2019,0,0
439876166,2104386,8436115,120,Pricing Engine ZGPD,01/14/2019,1,1599
439876166,2104386,2390155,230,Agreement Netprice,01/14/2019,2,221.88
439876166,2104386,8436755,120,Pricing Engine ZGPD,01/14/2019,1,0
439876166,2104386,2390150,120,Pricing Engine ZGPD,01/14/2019,2,308
973373166,2868948,2313606,120,Pricing Engine ZGPD,01/08/2019,1,129
973373166,2868948,2680263,120,Pricing Engine ZGPD,01/08/2019,1,76.08
973373166,2868948,2364583,120,Pricing Engine ZGPD,01/08/2019,1,6
973373166,2868948,2639541,120,Pricing Engine ZGPD,01/08/2019,1,39
973373166,2868948,2384129,120,Pricing Engine ZGPD,01/08/2019,2,218
973303166,3659314,8107212,230,Agreement Netprice,01/16/2019,1,95.48
973303166,3659314,2264512,120,Pricing Engine ZGPD,01/16/2019,2,79.88
973303166,3659314,2363008,230,Agreement Netprice,01/16/2019,0,0
973303166,3659314,2665690,230,Agreement Netprice,01/16/2019,4,64.68
439872166,3140855,2603166,230,Agreement Netprice,01/16/2019,1000,151.4
973358166,3671856,8915312,120,Pricing Engine ZGPD,01/04/2019,1,140.85
973358166,3671856,2332542,120,Pricing Engine ZGPD,01/04/2019,0,0
439858166,3672273,8980156,230,Agreement Netprice,01/08/2019,1,79.78
439858166,3672273,8980145,120,Pricing Engine ZGPD,01/08/2019,1,123.3
439858166,3672273,2369405,120,Pricing Engine ZGPD,01/08/2019,0,0
439858166,3672273,2369405,230,Agreement Netprice,01/08/2019,0,0
439858166,3672273,2366090,230,Agreement Netprice,01/08/2019,0,0
439858166,3672273,2336070,120,Pricing Engine ZGPD,01/08/2019,0,0
973370166,3651737,2323874,120,Pricing Engine ZGPD,01/11/2019,1,42.25
523803966,3650236,2344423,#,#,01/11/2019,1,0
523803966,3650236,2635821,#,#,01/11/2019,1,0
523803966,3650236,2639954,#,#,01/11/2019,1,0
523803966,3741549,2301285,#,#,01/07/2019,1,0
973309966,3389250,2332541,120,Pricing Engine ZGPD,01/15/2019,0,0
973309966,3389250,8915759,120,Pricing Engine ZGPD,01/15/2019,1,114.61
973309966,3389250,2697320,120,Pricing Engine ZGPD,01/15/2019,0,0
953862466,3655989,2301285,120,Pricing Engine ZGPD,01/17/2019,1,74.25
973352466,3321020,2697022,120,Pricing Engine ZGPD,01/03/2019,1250,176.45
973352466,3321020,2607547,230,Agreement Netprice,01/03/2019,32500,554.2
439872466,3671102,2615685,120,Pricing Engine ZGPD,01/16/2019,1,185
439858466,2932953,2645878,120,Pricing Engine ZGPD,01/08/2019,3,100.17
973355466,3675812,2310510,364,Overwr Price Eng Man.Disc. - Z190,01/07/2019,10,0
973347466,3298663,2261332,120,Pricing Engine ZGPD,01/03/2019,4,159.96
973347466,3298663,8905619,120,Pricing Engine ZGPD,01/03/2019,3,1260
973347466,3298663,2261620,120,Pricing Engine ZGPD,01/03/2019,0,0
973370466,3651303,2677585,364,Overwr Price Eng Man.Disc. - Z190,01/10/2019,0,0
973370466,3651303,8121777,364,Overwr Price Eng Man.Disc. - Z190,01/10/2019,4,0
973300466,3651274,2313042,120,Pricing Engine ZGPD,01/15/2019,30,243.84
953209566,3654837,8174231,230,Agreement Netprice,01/03/2019,1,1992.87
953209566,3654837,2602654,230,Agreement Netprice,01/03/2019,10,305.5
953209566,3654837,2669150,230,Agreement Netprice,01/03/2019,0,0
953209566,3654837,8138770,230,Agreement Netprice,01/03/2019,6,390.36
973264566,3651028,2313760,120,Pricing Engine ZGPD,01/18/2019,50,45.13
439845566,3322476,2363983,120,Pricing Engine ZGPD,01/01/2019,0,0
439845566,3322476,8986210,120,Pricing Engine ZGPD,01/01/2019,0,0
973355566,3507053,2337548,120,Pricing Engine ZGPD,01/08/2019,1,62.5
973267566,3140855,2369176,230,Agreement Netprice,01/18/2019,1600,2332
973267566,3140855,2600812,230,Agreement Netprice,01/18/2019,800,848
973353766,2654357,8135378,363,Overwr Price Eng Cust.NP - Z001,01/04/2019,300,1192.26
